                                                  NC-R4100

    P/N     NCU18XH103F6SRB
    R25          10      k ohm +/-       1           %
  B(25/50)      3380       K +/-         1           %

   TEMP.       R-low      R-center     R-high
     21       11.4945     11.6281     11.7621
     22       11.0703     11.1947     11.3195
     23       10.6637     10.7795     10.8955
     24       10.2738     10.3815     10.4892
     25        9.9000     10.0000     10.1000
     26        9.5343      9.6342      9.7342
     27        9.1838      9.2835      9.3833
     28        8.8477      8.9470      9.0465
     29        8.5254      8.6242      8.7234
     30        8.2162      8.3145      8.4132
     31        7.9204      8.0181      8.1162
     32        7.6367      7.7337      7.8312
     33        7.3647      7.4609      7.5576
     34        7.1038      7.1991      7.2951
     35        6.8534      6.9479      7.0430
     36        6.6131      6.7067      6.8009
     37        6.3825      6.4751      6.5683
     38        6.1611      6.2526      6.3449
     39        5.9485      6.0390      6.1302
     40        5.7443      5.8336      5.9238
     41        5.5474      5.6357      5.7248
     42        5.3582      5.4454      5.5333
     43        5.1764      5.2623      5.3492
     44        5.0015      5.0863      5.1720
     45        4.8333      4.9169      5.0015
     46        4.6715      4.7539      4.8373
     47        4.5159      4.5971      4.6793
     48        4.3661      4.4461      4.5271
     49        4.2220      4.3008      4.3806
     50        4.0833      4.1609      4.2395
     51        3.9498      4.0262      4.1036
     52        3.8213      3.8964      3.9727
     53        3.6975      3.7714      3.8465
     54        3.5783      3.6510      3.7249
     55        3.4634      3.5350      3.6076
     56        3.3527      3.4231      3.4946
     57        3.2461      3.3152      3.3856
     58        3.1432      3.2113      3.2804
     59        3.0441      3.1110      3.1790
     60        2.9486      3.0143      3.0812
     61        2.8578      2.9224      2.9881
     62        2.7703      2.8337      2.8984
     63        2.6858      2.7482      2.8118
     64        2.6044      2.6657      2.7282
     65        2.5259      2.5861      2.6476
     66        2.4501      2.5093      2.5697
     67        2.3770      2.4351      2.4945
     68        2.3064      2.3635      2.4218
     69        2.2382      2.2943      2.3517
     70        2.1724      2.2275      2.2839
     71        2.1086      2.1627      2.2181
     72        2.0469      2.1001      2.1545
     73        1.9873      2.0396      2.0930
     74        1.9298      1.9811      2.0335
     75        1.8741      1.9245      1.9761
     76        1.8204      1.8698      1.9205
     77        1.7684      1.8170      1.8667
     78        1.7181      1.7658      1.8147
     79        1.6695      1.7164      1.7644
     80        1.6225      1.6685      1.7157
     81        1.5772      1.6224      1.6687
     82        1.5334      1.5777      1.6232
     83        1.4909      1.5345      1.5792
     84        1.4499      1.4927      1.5365
     85        1.4101      1.4521      1.4952
     86        1.3717      1.4129      1.4552
     87        1.3344      1.3749      1.4165
     88        1.2984      1.3381      1.3790
     89        1.2635      1.3025      1.3426
     90        1.2296      1.2680      1.3074
     91        1.1966      1.2343      1.2730
     92        1.1647      1.2016      1.2396
     93        1.1337      1.1700      1.2073
     94        1.1037      1.1393      1.1760
     95        1.0746      1.1096      1.1456
     96        1.0464      1.0807      1.1161
     97        1.0190      1.0528      1.0875
     98        0.9925      1.0256      1.0598
     99        0.9668      0.9993      1.0328
    100        0.9419      0.9738      1.0067
    101        0.9179      0.9492      0.9816
    102        0.8946      0.9254      0.9571
    103        0.8720      0.9022      0.9334
    104        0.8501      0.8798      0.9104
    105        0.8288      0.8580      0.8881
    106        0.8081      0.8368      0.8664
    107        0.7881      0.8162      0.8453
    108        0.7686      0.7963      0.8248
    109        0.7497      0.7769      0.8049
    110        0.7313      0.7580      0.7856
    111        0.7135      0.7397      0.7668
    112        0.6962      0.7219      0.7485
    113        0.6793      0.7046      0.7308
    114        0.6630      0.6878      0.7135
    115        0.6471      0.6715      0.6968
    116        0.6316      0.6556      0.6805
    117        0.6166      0.6402      0.6646
    118        0.6020      0.6252      0.6492
    119        0.5878      0.6106      0.6342
    120        0.5740      0.5964      0.6196
    121        0.5606      0.5826      0.6054
    122        0.5476      0.5692      0.5916
    123        0.5349      0.5562      0.5782
    124        0.5226      0.5435      0.5651
    125        0.5106      0.5311      0.5524
    126        0.4990      0.5191      0.5401
    127        0.4876      0.5074      0.5280
    128        0.4766      0.4961      0.5163
    129        0.4658      0.4850      0.5049
    130        0.4554      0.4742      0.4938
    131        0.4452      0.4637      0.4829
    132        0.4352      0.4535      0.4724
    133        0.4256      0.4435      0.4621
    134        0.4162      0.4338      0.4521
    135        0.4070      0.4243      0.4423
    136        0.3981      0.4151      0.4328
    137        0.3894      0.4062      0.4236
    138        0.3810      0.3974      0.4146
    139        0.3727      0.3889      0.4058
    140        0.3647      0.3807      0.3972
    141        0.3569      0.3726      0.3889
    142        0.3493      0.3647      0.3808
    143        0.3419      0.3571      0.3729
    144        0.3347      0.3496      0.3651
    145        0.3276      0.3423      0.3576
    146        0.3208      0.3352      0.3503
    147        0.3141      0.3283      0.3431
    148        0.3076      0.3215      0.3361
    149        0.3012      0.3150      0.3293
    150        0.2950      0.3085      0.3227


                        MURATA MANUFACTURING CO.,LTD.
